Event.Id,Event.Date,Year,Make,Model,Aircraft.Category,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Injury.Severity,Severity.Level,Outcome
20070628X00829,2007-06-09,2007,Grumman,G-164A,Airplane,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070730X01055,2007-06-10,2007,Cessna,172D,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070712X00928,2007-06-10,2007,Piper,PA-16,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Non-Fatal,None,Non-Fatal
20070807X01126,2007-06-10,2007,Cessna,C-170A,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070910X01350,2007-06-10,2007,Cessna,150L,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Go-Around,Non-Fatal,Low,Non-Fatal
20070628X00839,2007-06-10,2007,Piper,PA-24-250,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070711X00902,2007-06-10,2007,Cessna,170,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Non-Fatal,None,Non-Fatal
20070807X01132,2007-06-11,2007,Robinson,R-22B,Helicopter,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070628X00831,2007-06-12,2007,Cessna,172G,Airplane,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070712X00929,2007-06-12,2007,Piper,PA-18-150,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070807X01133,2007-06-13,2007,Piper,PA-28RT-201,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,IMC,Takeoff,Non-Fatal,Low,Non-Fatal
20070712X00931,2007-06-14,2007,Cessna,210M,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Landing,Non-Fatal,Low,Non-Fatal
20070706X00890,2007-06-15,2007,Luscombe,8A,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070716X00945,2007-06-15,2007,Cessna,150H,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Non-Fatal,Low,Non-Fatal
20070717X00947,2007-06-15,2007,Cessna,172S,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070828X01255,2007-06-15,2007,Cessna,206,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,Non-Fatal,Low,Non-Fatal
20070723X00993,2007-06-15,2007,Cessna,150J,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Non-Fatal,None,Non-Fatal
20081003X62955,2007-06-16,2007,Cessna,U206F,Airplane,No,,Unknown,Unknown,6.0,0.0,0.0,0.0,UNKNOWN,,Fatal,High,Fatal
20070730X01053,2007-06-17,2007,Cessna,180H,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Non-Fatal,Low,Non-Fatal
20070730X01057,2007-06-18,2007,Robinson,R22 Beta II,Helicopter,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Taxi,Non-Fatal,None,Non-Fatal
20070807X01131,2007-06-18,2007,Piper,PA31-310,Airplane,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Non-Fatal,None,Non-Fatal
20070723X00978,2007-06-18,2007,Beech,C-23,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
